0	420	2355
1	286	836
2	14	169
3	1228	2302
6	680	1317
7	125	2517
8	1383	2857
8	2080	2831
8	836	1119
8	435	2507
8	706	2746
9	1355	2802
9	1612	2171
11	790	1754
12	45	352
12	514	2419
14	1393	1825
15	206	844
17	620	2008
17	1584	2859
17	1870	2740
17	916	925
18	171	1976
18	974	2840
19	1586	1591
22	1221	1528
25	1244	1818
26	236	765
26	211	489
29	168	1369
29	1584	2422
29	77	1048
30	454	1065
31	589	1071
32	1099	1151
32	1413	2378
35	520	1774
36	862	1487
37	855	1051
38	974	1829
39	1220	2442
39	1603	2556
41	71	451
41	929	1457
42	2523	2884
43	1671	2612
44	184	745
44	115	2786
46	1295	1963
46	1243	1986
47	2615	2863
47	920	2010
48	1194	2236
48	40	1872
48	1937	2205
48	168	2755
50	1447	1921
50	681	2272
51	2268	2495
52	518	872
52	1270	2477
53	1234	2131
54	584	1154
56	1131	1548
57	119	2813
59	1821	2408
62	1178	2575
62	159	2243
62	837	1566
63	1754	2825
65	558	1187
66	921	1617
66	2327	2448
66	1647	2265
68	2139	2222
68	1249	2578
69	1836	2302
71	2250	2426
72	627	974
74	943	1797
74	744	1596
75	1210	2717
75	524	1724
75	72	2460
75	2017	2781
77	649	2482
77	1522	2326
78	679	1105
78	1954	2762
78	1755	2066
79	968	1758
81	2459	2535
81	391	2254
82	1099	2762
87	1849	2882
88	1765	2882
90	39	860
90	470	873
91	875	942
92	1274	2077
92	1596	2149
93	1923	2126
93	735	1843
94	1182	2850
94	983	1530
95	1801	1917
96	827	2607
96	531	1776
96	1536	2162
96	2353	2768
96	703	1759
100	427	2382
100	332	1893
100	361	2245
100	602	1416
100	126	2049
100	24	301
100	1030	1456
100	304	2857
100	379	547
101	269	1811
103	780	909
105	318	550
105	554	1515
105	306	378
106	1198	1550
106	2709	2776
107	1462	1991
108	889	1006
110	236	308
110	232	1588
111	1635	2401
111	242	580
112	629	1097
113	1151	1376
114	2403	2665
115	360	856
116	1552	2172
117	901	1422
117	213	1378
117	1673	2637
119	393	2554
120	1096	1772
122	1137	2262
123	1683	2677
124	327	1342
125	1844	1867
128	1641	2096
128	111	181
128	117	2729
129	1436	2293
129	2	1981
129	1500	2409
129	869	1399
130	1318	2704
133	375	1304
136	1419	1547
136	253	2814
136	967	1529
138	714	2216
138	2312	2650
138	1370	2309
139	1150	2644
140	1034	1607
142	2114	2270
144	723	1678
145	140	480
146	578	2850
148	645	942
148	555	2117
150	564	583
150	1320	2046
150	411	2088
151	526	711
153	211	617
157	2131	2841
157	613	1427
158	1981	2511
158	704	2046
158	1092	2186
160	2081	2260
160	1036	1046
161	2385	2672
161	739	1662
162	897	2119
163	1171	1517
163	170	926
163	137	2389
163	980	1986
163	121	1573
164	296	2651
166	1048	1642
167	59	424
167	917	918
168	263	2870
168	227	1319
168	1176	1804
169	1440	2455
170	825	2750
172	1126	1963
174	386	1198
174	1148	2323
175	1129	1281
176	1505	2650
179	391	1757
180	1320	2256
182	382	1302
184	211	819
184	85	2717
184	716	1175
184	896	1717
185	866	2375
187	2178	2257
187	1633	2328
187	449	2371
188	811	2258
191	445	2081
192	133	198
192	1665	2835
192	1052	1730
192	405	1723
193	1956	2719
193	1836	2564
193	849	2642
193	603	1432
194	2052	2727
195	1021	2697
196	1760	2437
197	14	2361
198	79	443
198	1077	2382
199	195	1545
201	1442	1652
203	1226	2726
205	2420	2607
207	749	2321
208	294	1132
208	98	1609
209	1963	2406
209	1931	2823
210	1342	2205
212	1990	2438
212	938	2268
212	1524	2830
213	220	2321
214	1581	2298
216	2626	2835
216	25	2490
216	1426	2349
216	2406	2736
219	915	1115
219	582	1895
221	2297	2850
221	106	759
221	791	2644
221	1465	2813
221	680	2201
222	398	1108
222	923	2573
222	748	1120
222	1837	2244
223	322	733
226	322	2110
226	372	574
227	1254	2248
228	1410	2108
231	1779	2356
234	1933	2452
234	324	1044
235	224	2305
235	500	913
236	153	1923
236	490	2688
236	1078	1445
236	757	2312
237	1176	1505
239	5	1874
240	2218	2322
240	92	2498
241	608	1805
241	926	2680
241	1024	1445
241	999	1986
242	243	2866
242	1415	2255
242	1169	2447
243	918	1252
244	1456	2243
244	769	1007
244	1203	1277
244	723	2503
245	211	2113
246	198	583
246	1914	2479
246	1833	1860
248	195	1766
250	1107	1757
251	1179	1533
252	2408	2807
253	727	1961
253	258	1226
254	815	1701
254	347	1849
255	105	2813
258	932	980
260	310	2776
260	728	1461
261	801	1551
263	564	1418
264	144	2069
265	450	1815
267	2200	2823
268	347	1765
269	769	1419
269	715	888
269	880	2807
270	1323	2231
271	278	1414
272	259	1781
272	756	1137
272	1986	2569
272	620	763
272	1048	1949
274	1700	1942
275	663	1886
277	2113	2506
277	1201	2044
279	562	1841
282	1745	2021
283	399	671
283	619	954
284	1892	2176
285	2092	2568
286	436	1199
287	652	833
288	1644	2097
292	1644	2098
293	674	2481
294	1961	2013
296	1774	2593
296	960	2021
297	926	1180
297	1215	2052
300	1175	2541
