0	504	2765
1	1770	2791
2	1699	2242
3	1361	2365
4	443	2646
4	88	1408
5	1077	1387
8	410	787
11	356	1633
11	2353	2543
13	1565	2300
15	738	2408
16	1175	1657
16	158	2002
17	906	2253
17	1123	1889
18	1944	1946
18	2515	2773
18	2276	2860
19	1181	2663
21	1198	2010
22	786	2067
24	1248	1509
25	73	942
27	1380	1974
27	1191	2288
27	542	2200
28	411	2457
28	1226	1240
29	266	1701
30	2494	2884
31	1319	1473
32	1979	2086
32	1395	1516
33	380	980
34	616	927
35	178	2214
35	1133	2072
37	2196	2637
37	622	1431
38	1821	2808
39	2152	2776
40	399	2808
40	1696	2049
42	67	2112
42	2598	2710
43	1156	2787
44	942	1337
44	15	2096
45	207	1717
45	1455	2133
46	1832	2368
46	2157	2466
49	2409	2805
50	1824	2390
51	2214	2657
51	1317	2113
51	668	1556
52	681	2475
52	2741	2870
53	750	1472
54	286	558
54	1900	2638
55	189	1040
60	2564	2665
60	262	779
61	618	649
62	2360	2651
63	28	2338
63	2328	2457
63	793	1682
64	1445	2705
67	467	535
67	961	1692
69	1938	2542
69	1562	1965
70	2033	2452
70	2049	2255
71	1202	2149
73	1834	2422
74	181	610
75	688	1669
75	38	1844
75	565	2067
75	1076	1272
76	1312	2664
76	2312	2875
77	422	1461
77	995	1435
78	739	1376
78	562	1984
80	1595	2359
81	884	2760
81	1343	2056
83	1592	2510
83	476	2187
84	2066	2686
86	1222	1878
86	41	2250
86	1219	2312
89	1764	2312
90	2694	2725
91	834	1114
91	621	884
92	85	1436
92	1209	2291
92	1126	1356
93	1741	1844
93	172	1861
94	275	526
95	589	1169
95	5	478
96	930	1955
97	162	1837
97	1757	2456
97	787	2453
98	88	2561
99	371	571
101	390	1251
102	1499	2798
103	1270	1292
104	174	822
104	1211	2605
106	213	296
106	2728	2765
108	627	2367
108	1197	2501
109	1429	2228
109	1102	1168
109	541	2840
109	800	2139
110	797	2022
110	1762	1894
110	2743	2881
111	512	976
115	671	1778
116	2457	2570
116	386	1369
116	968	1550
117	10	400
117	1624	1744
117	734	1440
118	906	1567
120	1615	1617
120	700	2586
122	967	1879
122	1867	2646
125	184	1141
127	435	1136
129	133	2772
130	1300	1620
130	839	1816
132	61	2084
133	1782	2878
133	1683	2649
135	1208	2626
136	655	2224
136	1397	1585
136	312	2270
136	2081	2156
138	902	1182
139	1476	1721
142	1778	2730
142	616	2315
144	567	2383
146	1194	2633
147	376	2216
148	809	1226
151	164	1113
152	320	454
154	641	1930
155	985	1185
157	1710	2028
159	1153	2149
160	1299	2149
162	1309	1349
162	1917	2454
162	388	551
164	2046	2169
164	1349	1971
164	212	244
165	143	2411
166	1775	1939
169	512	975
170	214	2527
171	2113	2115
175	967	2686
175	1229	2305
176	1457	2215
179	2439	2675
180	834	1746
181	935	2180
181	706	2882
182	732	1438
182	1043	2534
182	62	750
184	967	1408
186	211	679
186	1306	2887
187	2251	2855
188	374	1459
189	1458	1696
190	727	1186
191	423	1686
192	2404	2513
193	884	1519
194	1014	2048
194	576	1848
195	699	892
199	2368	2579
202	596	2392
204	988	2665
204	806	1956
206	378	1650
207	105	2548
208	2501	2612
211	810	1588
212	2415	2493
213	691	2275
214	175	519
216	1840	2013
218	93	2052
218	609	949
221	1889	2614
221	91	1488
221	1728	2527
221	865	2562
222	934	1804
222	1107	1441
223	1317	2687
223	709	1790
225	1343	1344
225	1707	2083
225	86	853
226	1296	2875
229	1913	2511
230	202	2351
233	24	757
233	818	2270
233	600	1443
233	1119	1486
234	653	2396
235	1921	2648
237	63	2621
239	1392	2313
241	621	1443
242	153	2360
244	738	1557
245	2155	2628
246	1790	2845
246	1103	1692
246	2077	2866
247	1813	2374
249	176	1866
250	1354	1742
250	370	795
251	1025	1232
254	437	2803
255	2141	2861
255	551	1872
258	320	1271
258	1236	1456
260	1732	1810
261	1034	2207
261	87	207
262	811	910
262	1367	1583
265	1450	2406
266	95	1264
266	1465	2548
266	1707	1855
267	2005	2631
269	1998	2063
269	1284	1512
269	1842	1985
269	857	1035
271	402	535
273	987	2721
273	873	1103
275	1491	1583
275	789	2552
275	1386	1820
275	164	1619
277	685	1806
277	1516	2793
278	812	1820
280	30	2258
280	72	583
282	543	2585
282	3	603
282	28	1318
284	1440	1519
286	1175	1448
287	736	1781
289	485	2734
290	1601	2295
290	645	2030
290	900	2312
292	1415	1987
293	1985	2865
293	1663	2713
293	20	2258
293	1495	2073
293	2816	2819
296	530	2174
296	590	2033
297	112	2712
299	82	588
300	796	1920
300	46	607
304	946	1659
304	1757	2304
304	2109	2135
305	1951	2881
306	850	934
309	504	1188
310	1528	2713
315	413	662
315	598	2293
317	1733	2115
319	995	2410
320	1752	2302
320	948	1543
321	2269	2532
322	481	1425
323	1888	2427
324	205	1796
325	2234	2777
326	2008	2199
326	157	318
327	1373	2258
329	535	2682
330	1329	2526
331	602	1841
333	2216	2499
333	720	1681
333	1069	1564
333	281	2157
336	14	182
336	130	1651
336	1064	2207
336	1544	2186
337	1445	2515
337	1462	1683
337	1980	2111
337	1573	1597
339	328	944
339	764	2220
339	357	2509
339	2768	2863
340	1365	2565
340	2284	2707
341	920	2426
341	780	846
342	1557	2059
343	98	857
345	1874	2818
348	458	1139
348	303	2879
351	728	1897
352	820	2172
353	1278	1822
353	2088	2475
353	105	1302
353	906	2029
354	476	1218
354	89	1981
355	2019	2186
355	629	1799
357	49	446
357	1827	1971
357	1224	2137
357	387	2247
358	1414	1774
359	1292	1738
360	469	479
360	1063	1151
362	60	2187
363	1705	1784
365	602	1738
365	2008	2451
366	2764	2793
367	998	1749
370	1624	1874
370	1372	2805
370	1791	2040
373	1852	2493
373	1936	2773
374	930	1694
376	1582	2084
377	807	2025
380	487	1147
381	2636	2855
381	1047	2517
382	172	2088
383	1774	2141
385	1983	2691
385	792	2729
386	594	1666
388	113	1516
389	2224	2537
389	559	1886
391	564	1963
393	720	821
395	826	1749
396	1234	1335
397	797	1604
398	46	2378
398	309	592
398	1901	2192
398	357	809
398	148	2749
398	853	2524
399	2345	2604
399	138	627
399	2000	2020
403	1353	2431
404	433	477
405	1302	1465
406	886	1109
408	193	2798
409	1372	2053
410	1668	2396
411	42	1953
411	1258	2275
413	1733	2325
413	1746	2487
414	654	2715
415	2040	2068
416	2624	2780
416	149	968
418	1532	2191
418	885	2860
418	1221	2023
420	408	2652
422	397	718
423	1762	1936
424	1602	1704
424	1244	2144
426	291	2645
426	2278	2303
428	1463	2878
428	1494	2281
429	729	1614
430	981	1958
430	910	2476
430	1399	2142
431	977	1858
431	1370	2050
433	763	1633
435	297	2574
436	121	1027
438	407	2652
439	164	564
439	88	1364
439	2	962
439	136	2814
442	1917	2458
442	88	1181
442	1910	2326
443	1791	2005
444	979	2031
446	632	680
446	1321	2013
447	1513	2716
447	1945	2652
448	282	2176
448	1729	2747
448	54	680
449	1027	2156
450	347	2809
451	1742	2053
452	822	2059
453	93	398
453	415	935
453	2055	2479
455	2155	2442
455	2572	2811
456	1240	2273
459	543	1931
461	1348	2195
463	1003	1109
463	480	2827
466	270	2090
466	283	2779
468	2141	2305
470	1372	2074
473	675	1419
473	966	1479
474	595	1598
475	2550	2779
475	763	2374
476	2489	2681
476	384	1410
477	1926	2681
478	436	2641
479	943	2423
480	418	2162
480	514	2635
482	764	2373
482	929	2660
483	93	1912
484	365	609
486	324	1241
486	1035	2306
486	320	2773
486	2738	2876
487	2252	2275
487	357	376
488	1191	2742
488	588	882
488	524	2289
489	885	1983
489	177	878
489	1140	1893
492	706	991
492	2134	2608
493	1718	2701
494	1	2203
495	2529	2584
496	399	2803
497	2758	2859
498	271	1139
499	1947	2712
501	165	2657
502	1853	2630
503	1504	1943
503	388	1280
505	704	2278
505	1693	2688
505	797	2784
507	2201	2723
507	579	1980
509	1209	1831
510	1044	2054
512	1088	2612
512	420	2018
514	1173	2358
515	678	1582
516	739	1218
517	334	2155
517	522	1298
519	204	2103
519	547	1030
519	1050	2818
519	2274	2538
521	1756	2425
521	946	1526
522	2161	2606
523	1198	1427
523	200	1944
523	2531	2609
523	1631	1860
525	100	437
526	750	2451
526	313	2588
528	561	1984
530	190	833
533	1413	1981
533	716	933
533	1862	1909
533	574	908
534	85	2604
535	1133	2252
535	465	946
537	119	2712
539	299	681
539	1158	1904
541	1561	1999
541	1052	1785
541	454	2338
541	1310	1974
542	455	2339
542	247	1030
545	2637	2854
546	736	1376
546	1016	1454
546	1373	2080
548	799	902
548	221	581
548	850	2339
548	956	2748
548	612	713
549	2325	2504
553	483	863
554	2048	2074
554	1462	2484
554	1518	2045
555	52	245
556	1252	1536
557	1061	1214
557	1454	2468
559	1272	2011
559	490	2437
560	1877	2840
560	1904	2563
560	181	2739
561	112	334
564	51	2058
567	218	565
568	833	1850
569	466	2247
569	771	913
569	694	1291
570	2216	2635
571	1257	1317
574	1628	2558
575	518	2832
575	1744	2527
576	1805	2437
577	524	1040
577	483	644
577	1020	2763
578	460	1202
580	336	1923
580	1218	1464
581	342	1652
581	2425	2696
582	690	702
583	1626	2837
583	778	1254
583	520	682
585	1303	2483
587	123	1617
587	1901	2446
588	853	1084
589	2829	2865
590	850	2120
590	2035	2476
590	2212	2884
593	1134	2048
593	755	2448
595	67	337
