0	1272	2011
1	490	2437
2	1877	2840
3	1904	2563
6	181	2739
7	112	334
7	51	2058
8	218	565
10	833	1850
10	466	2247
13	771	913
14	694	1291
16	2216	2635
17	1257	1317
17	1628	2558
19	518	2832
19	1744	2527
20	1805	2437
22	524	1040
22	483	644
22	1020	2763
22	460	1202
23	336	1923
23	1218	1464
24	342	1652
25	2425	2696
25	690	702
26	1626	2837
28	778	1254
28	520	682
28	1303	2483
29	123	1617
31	1901	2446
31	853	1084
31	2829	2865
32	850	2120
34	2035	2476
36	2212	2884
37	1134	2048
37	755	2448
37	67	337
38	2699	2761
40	1707	2023
41	1689	2655
42	465	622
42	894	2763
44	262	1884
45	246	1693
46	1277	1822
46	689	2270
46	119	925
48	1864	2085
48	1572	2544
49	2034	2308
49	1806	2786
49	1070	2300
50	934	1895
50	1163	1899
52	919	956
53	675	1624
53	506	1093
56	213	2652
56	979	2273
57	127	1544
57	1499	2178
58	1581	2559
58	34	2664
59	2280	2703
61	1846	2781
63	1554	1740
64	795	1575
65	222	1542
66	274	350
66	2289	2393
67	17	2632
72	814	1621
75	2783	2842
75	28	320
75	1420	1704
77	1715	1989
78	1044	2274
78	494	1653
78	611	2880
79	143	2831
82	560	1519
82	1369	2373
84	809	1133
85	145	611
85	1773	1842
85	2180	2339
87	950	2149
89	592	1499
90	1693	2166
91	584	608
94	195	1649
94	393	2837
95	323	2723
96	127	2019
98	10	2049
99	2321	2580
99	2021	2717
99	1027	2652
100	2086	2114
101	1233	1406
102	224	629
103	1582	1857
104	1330	1897
105	575	2567
107	140	2033
107	1005	2257
108	1044	1522
111	1743	2738
112	355	1085
114	1025	1449
115	511	838
116	1772	2617
116	2222	2476
117	10	166
119	1199	1842
119	627	1086
120	1902	2026
121	1833	2164
121	1477	2538
123	1060	2569
125	511	885
126	13	1397
126	99	2619
126	811	1414
127	1061	2537
128	1190	2361
129	766	1722
129	254	2039
130	278	1136
130	952	1897
132	114	2437
134	1694	2853
134	686	2527
135	180	1716
139	999	1060
142	671	1271
143	538	1273
143	1159	2721
143	7	2328
143	1258	2533
145	314	2261
145	1291	1612
145	244	1193
145	1517	2373
145	936	1901
146	999	1569
147	1935	2805
149	495	944
149	930	2136
149	516	2327
150	1578	2559
150	1577	2496
150	19	2364
151	340	652
153	1337	2216
154	234	2871
154	919	1712
156	970	2119
159	1345	1819
161	1149	1639
161	762	2726
162	1763	2551
162	2072	2693
162	830	1621
162	1327	1621
163	73	2216
163	2474	2826
163	1929	2527
165	800	2327
166	723	2563
167	1084	1222
170	802	2049
173	566	2178
174	1589	2011
174	1197	1488
177	548	2144
179	1617	2059
179	817	1211
179	1346	1444
180	134	944
180	1569	2569
181	2176	2336
181	700	920
182	144	1318
183	2450	2605
184	2311	2775
184	1377	2445
185	434	2571
186	518	1558
188	383	2811
189	553	1782
189	20	2080
189	472	1778
189	33	520
190	863	2497
194	2129	2880
195	441	973
196	1850	2019
197	2339	2869
198	1485	2109
198	461	1598
199	723	1158
201	336	2440
202	959	1154
203	2561	2578
204	111	2286
205	464	2464
206	1342	2012
206	127	362
208	30	2080
209	878	2539
211	507	873
212	211	1980
214	811	1775
214	932	2035
216	2011	2479
218	1119	1409
219	1164	2714
219	538	2076
219	235	749
219	436	1720
220	1305	2191
220	1544	1850
221	1083	1529
221	1097	2033
221	382	773
223	547	2254
223	983	1877
226	606	1427
226	1037	1175
226	692	2793
228	13	1548
228	1248	2836
230	735	2695
232	1583	2114
233	782	2701
233	585	1924
234	2392	2602
234	2229	2591
235	184	2707
237	2518	2880
238	318	1191
239	739	993
240	255	2614
241	220	235
241	981	2118
243	979	2220
244	1422	1483
244	1422	1600
245	2281	2435
247	2361	2596
248	418	2295
248	545	2736
248	1721	2434
248	2047	2092
251	331	519
253	419	1906
253	738	872
253	501	2426
254	1050	2441
256	1549	2822
257	1359	2549
259	2424	2665
261	271	963
264	259	1724
266	696	1091
267	373	701
267	104	2254
270	2010	2380
271	491	2516
271	51	429
271	1602	2600
272	371	1114
273	1745	2681
275	829	2512
276	347	1508
276	496	1756
276	1388	2190
276	590	1107
277	703	2757
279	1425	2506
281	597	1350
282	310	900
283	1211	2494
286	124	2652
