0	10	166
1	2	71
2	62	168
2	17	148
2	59	75
2	73	91
2	112	153
3	52	116
3	149	156
5	9	132
5	64	79
5	107	160
5	159	171
6	123	173
7	2	45
10	1	134
10	18	78
10	96	167
11	67	159
13	74	88
13	85	138
13	36	107
13	86	136
13	68	140
13	27	43
13	164	169
13	101	116
13	21	64
13	4	64
14	69	109
14	26	43
15	40	136
17	25	52
18	83	92
19	5	65
20	29	46
20	2	107
21	55	92
22	16	156
22	1	126
22	47	104
23	104	150
23	64	115
23	34	171
23	43	150
26	43	47
26	27	141
29	115	142
29	33	89
32	18	114
33	20	95
33	30	95
34	64	78
34	107	117
34	58	64
34	77	142
35	132	145
36	71	93
36	75	81
37	25	101
37	42	164
38	52	84
43	50	109
44	28	30
46	20	28
47	17	31
47	14	84
47	97	103
48	112	123
50	156	166
52	38	71
52	76	119
52	137	169
54	3	69
54	29	140
57	34	110
57	86	153
57	3	139
57	7	162
57	67	73
58	16	43
59	103	153
62	86	169
65	143	152
67	16	149
67	37	76
68	35	75
69	45	114
71	80	129
71	40	137
72	30	114
73	20	114
73	7	46
75	80	121
77	25	154
77	130	162
77	11	42
77	11	112
77	76	86
77	6	34
78	77	152
79	54	140
79	100	123
80	46	54
81	70	147
82	78	142
83	61	82
83	49	73
85	11	79
85	116	154
86	73	110
87	84	101
88	34	141
88	8	43
90	46	107
90	95	129
92	95	133
94	142	164
95	124	153
95	62	146
95	9	82
96	11	100
96	100	115
99	109	127
100	87	157
101	21	79
102	4	79
103	64	114
104	1	140
104	7	10
104	91	159
105	55	161
106	14	129
106	25	143
106	31	44
107	149	150
108	47	149
108	78	123
110	18	152
111	86	121
113	129	154
113	116	143
115	37	164
119	63	139
123	2	117
124	105	124
125	19	88
127	39	87
127	13	141
128	21	133
129	4	133
130	46	89
131	20	152
131	30	152
132	97	153
132	15	99
132	66	114
133	129	137
134	22	96
134	21	112
137	4	112
137	80	86
138	141	168
138	58	129
138	60	127
138	95	100
139	36	71
139	56	106
140	5	131
140	45	160
142	58	77
142	113	146
143	2	38
143	2	33
144	34	168
145	100	125
145	97	137
146	32	157
147	80	124
148	27	166
149	27	41
151	45	125
154	23	107
154	76	105
155	84	137
155	68	98
157	38	66
